"subject" "activity" "variable" "average"
"1" 1 "WALKING" "tBodyAccmeanX" 0.265696920582133
"2" 1 "WALKING" "tBodyAccmeanY" -0.0182981725176081
"3" 1 "WALKING" "tBodyAccmeanZ" -0.10784573454611
"4" 1 "WALKING" "tBodyAccstdX" -0.545795331328326
"5" 1 "WALKING" "tBodyAccstdY" -0.367716218227378
"6" 1 "WALKING" "tBodyAccstdZ" -0.502645746562824
"7" 1 "WALKING" "tGravityAccmeanX" 0.744867411573487
"8" 1 "WALKING" "tGravityAccmeanY" -0.0825562579855908
"9" 1 "WALKING" "tGravityAccmeanZ" 0.072339870389049
"10" 1 "WALKING" "tGravityAccstdX" -0.959859435936599
"11" 1 "WALKING" "tGravityAccstdY" -0.951150627458213
"12" 1 "WALKING" "tGravityAccstdZ" -0.925817590867435
"13" 1 "WALKING" "tBodyAccJerkmeanX" 0.0770930495126801
"14" 1 "WALKING" "tBodyAccJerkmeanY" 0.0165908438802305
"15" 1 "WALKING" "tBodyAccJerkmeanZ" -0.00910758730117003
"16" 1 "WALKING" "tBodyAccJerkstdX" -0.524721922818732
"17" 1 "WALKING" "tBodyAccJerkstdY" -0.470412403511239
"18" 1 "WALKING" "tBodyAccJerkstdZ" -0.717322274881844
"19" 1 "WALKING" "tBodyGyromeanX" -0.0208764064320173
"20" 1 "WALKING" "tBodyGyromeanY" -0.0880722729400576
"21" 1 "WALKING" "tBodyGyromeanZ" 0.0862641666597983
"22" 1 "WALKING" "tBodyGyrostdX" -0.686555715201729
"23" 1 "WALKING" "tBodyGyrostdY" -0.450979810499568
"24" 1 "WALKING" "tBodyGyrostdZ" -0.597496136795101
"25" 1 "WALKING" "tBodyGyroJerkmeanX" -0.0971120197265994
"26" 1 "WALKING" "tBodyGyroJerkmeanY" -0.0417164808293948
"27" 1 "WALKING" "tBodyGyroJerkmeanZ" -0.0471393985477522
"28" 1 "WALKING" "tBodyGyroJerkstdX" -0.637812687210375
"29" 1 "WALKING" "tBodyGyroJerkstdY" -0.634472244550432
"30" 1 "WALKING" "tBodyGyroJerkstdZ" -0.664591977786455
"31" 1 "WALKING" "tBodyAccMagmean" -0.453632943768818
"32" 1 "WALKING" "tBodyAccMagstd" -0.497096402038329
"33" 1 "WALKING" "tGravityAccMagmean" -0.453632943768818
"34" 1 "WALKING" "tGravityAccMagstd" -0.497096402038329
"35" 1 "WALKING" "tBodyAccJerkMagmean" -0.545431612066571
"36" 1 "WALKING" "tBodyAccJerkMagstd" -0.515922167555159
"37" 1 "WALKING" "tBodyGyroMagmean" -0.475404785802305
"38" 1 "WALKING" "tBodyGyroMagstd" -0.499839593745821
"39" 1 "WALKING" "tBodyGyroJerkMagmean" -0.639517432642651
"40" 1 "WALKING" "tBodyGyroJerkMagstd" -0.652050770910663
"41" 1 "WALKING" "fBodyAccmeanX" -0.531895161258213
"42" 1 "WALKING" "fBodyAccmeanY" -0.406435448904438
"43" 1 "WALKING" "fBodyAccmeanZ" -0.596411165253602
"44" 1 "WALKING" "fBodyAccstdX" -0.553060616663401
"45" 1 "WALKING" "fBodyAccstdY" -0.390150939647061
"46" 1 "WALKING" "fBodyAccstdZ" -0.498583091676081
"47" 1 "WALKING" "fBodyAccJerkmeanX" -0.547348892435764
"48" 1 "WALKING" "fBodyAccJerkmeanY" -0.507343617969859
"49" 1 "WALKING" "fBodyAccJerkmeanZ" -0.695305113832853
"50" 1 "WALKING" "fBodyAccJerkstdX" -0.543979776127867
"51" 1 "WALKING" "fBodyAccJerkstdY" -0.466251676533372
"52" 1 "WALKING" "fBodyAccJerkstdZ" -0.737861932680115
"53" 1 "WALKING" "fBodyGyromeanX" -0.623219182311527
"54" 1 "WALKING" "fBodyGyromeanY" -0.505309434070029
"55" 1 "WALKING" "fBodyGyromeanZ" -0.553529065425648
"56" 1 "WALKING" "fBodyGyrostdX" -0.708263420861671
"57" 1 "WALKING" "fBodyGyrostdY" -0.429825832648703
"58" 1 "WALKING" "fBodyGyrostdZ" -0.650476162132565
"59" 1 "WALKING" "fBodyAccMagmean" -0.478448523354179
"60" 1 "WALKING" "fBodyAccMagstd" -0.589710231217867
"61" 1 "WALKING" "fBodyBodyAccJerkMagmean" -0.499075765624092
"62" 1 "WALKING" "fBodyBodyAccJerkMagstd" -0.541823079570029
"63" 1 "WALKING" "fBodyBodyGyroMagmean" -0.535002770337752
"64" 1 "WALKING" "fBodyBodyGyroMagstd" -0.566576670397695
"65" 1 "WALKING" "fBodyBodyGyroJerkMagmean" -0.645970655298847
"66" 1 "WALKING" "fBodyBodyGyroJerkMagstd" -0.685811262634006
"67" 2 "STANDING" "tBodyAccmeanX" 0.273113115788079
"68" 2 "STANDING" "tBodyAccmeanY" -0.0191323183174834
"69" 2 "STANDING" "tBodyAccmeanZ" -0.115649958175497
"70" 2 "STANDING" "tBodyAccstdX" -0.605586497159271
"71" 2 "STANDING" "tBodyAccstdY" -0.428962986589404
"72" 2 "STANDING" "tBodyAccstdZ" -0.589360062210596
"73" 2 "STANDING" "tGravityAccmeanX" 0.660782866688742
"74" 2 "STANDING" "tGravityAccmeanY" -0.147219886910411
"75" 2 "STANDING" "tGravityAccmeanZ" 0.134865335090728
"76" 2 "STANDING" "tGravityAccstdX" -0.963015508245033
"77" 2 "STANDING" "tGravityAccstdY" -0.960033560165563
"78" 2 "STANDING" "tGravityAccstdZ" -0.945365383907285
"79" 2 "STANDING" "tBodyAccJerkmeanX" 0.0785353156747351
"80" 2 "STANDING" "tBodyAccJerkmeanY" 0.00708771249764901
"81" 2 "STANDING" "tBodyAccJerkmeanZ" 0.000755760748377483
"82" 2 "STANDING" "tBodyAccJerkstdX" -0.557809603123841
"83" 2 "STANDING" "tBodyAccJerkstdY" -0.491875889831788
"84" 2 "STANDING" "tBodyAccJerkstdZ" -0.741885388311258
"85" 2 "STANDING" "tBodyGyromeanX" -0.0517030657821192
"86" 2 "STANDING" "tBodyGyromeanY" -0.0568420186817881
"87" 2 "STANDING" "tBodyGyromeanZ" 0.0872599422291391
"88" 2 "STANDING" "tBodyGyrostdX" -0.710648927815894
"89" 2 "STANDING" "tBodyGyrostdY" -0.722943674337748
"90" 2 "STANDING" "tBodyGyrostdZ" -0.634888927843046
"91" 2 "STANDING" "tBodyGyroJerkmeanX" -0.0875587491668874
"92" 2 "STANDING" "tBodyGyroJerkmeanY" -0.0433986835453642
"93" 2 "STANDING" "tBodyGyroJerkmeanZ" -0.0557541828188742
"94" 2 "STANDING" "tBodyGyroJerkstdX" -0.671679103311258
"95" 2 "STANDING" "tBodyGyroJerkstdY" -0.783595466728477
"96" 2 "STANDING" "tBodyGyroJerkstdZ" -0.674611933293046
"97" 2 "STANDING" "tBodyAccMagmean" -0.535281800541722
"98" 2 "STANDING" "tBodyAccMagstd" -0.552812545643709
"99" 2 "STANDING" "tGravityAccMagmean" -0.535281800541722
"100" 2 "STANDING" "tGravityAccMagstd" -0.552812545643709
"101" 2 "STANDING" "tBodyAccJerkMagmean" -0.58777744543543
"102" 2 "STANDING" "tBodyAccJerkMagstd" -0.512115278415232
"103" 2 "STANDING" "tBodyGyroMagmean" -0.614771054893146
"104" 2 "STANDING" "tBodyGyroMagstd" -0.680584887880795
"105" 2 "STANDING" "tBodyGyroJerkMagmean" -0.746559539039735
"106" 2 "STANDING" "tBodyGyroJerkMagstd" -0.740088733655629
"107" 2 "STANDING" "fBodyAccmeanX" -0.57377091142947
"108" 2 "STANDING" "fBodyAccmeanY" -0.432566581302351
"109" 2 "STANDING" "fBodyAccmeanZ" -0.630081222124834
"110" 2 "STANDING" "fBodyAccstdX" -0.619788102803311
"111" 2 "STANDING" "fBodyAccstdY" -0.464723862913245
"112" 2 "STANDING" "fBodyAccstdZ" -0.600678614835099
"113" 2 "STANDING" "fBodyAccJerkmeanX" -0.561682049622185
"114" 2 "STANDING" "fBodyAccJerkmeanY" -0.50890379901457
"115" 2 "STANDING" "fBodyAccJerkmeanZ" -0.715745330403973
"116" 2 "STANDING" "fBodyAccJerkstdX" -0.595105612895033
"117" 2 "STANDING" "fBodyAccJerkstdY" -0.509147543673841
"118" 2 "STANDING" "fBodyAccJerkstdZ" -0.767087015496689
"119" 2 "STANDING" "fBodyGyromeanX" -0.638717694593046
"120" 2 "STANDING" "fBodyGyromeanY" -0.722068978635762
"121" 2 "STANDING" "fBodyGyromeanZ" -0.601594889654305
"122" 2 "STANDING" "fBodyGyrostdX" -0.734588540182119
"123" 2 "STANDING" "fBodyGyrostdY" -0.72716774102649
"124" 2 "STANDING" "fBodyGyrostdZ" -0.683114494539735
"125" 2 "STANDING" "fBodyAccMagmean" -0.514569861316887
"126" 2 "STANDING" "fBodyAccMagstd" -0.646662308457285
"127" 2 "STANDING" "fBodyBodyAccJerkMagmean" -0.509746432970861
"128" 2 "STANDING" "fBodyBodyAccJerkMagstd" -0.518800797709272
"129" 2 "STANDING" "fBodyBodyGyroMagmean" -0.699742945221854
"130" 2 "STANDING" "fBodyBodyGyroMagstd" -0.725310337688742
"131" 2 "STANDING" "fBodyBodyGyroJerkMagmean" -0.751615078360927
"132" 2 "STANDING" "fBodyBodyGyroJerkMagstd" -0.744194981440397
"133" 3 "WALKING" "tBodyAccmeanX" 0.273428719636364
"134" 3 "WALKING" "tBodyAccmeanY" -0.017856067384956
"135" 3 "WALKING" "tBodyAccmeanZ" -0.106492632429097
"136" 3 "WALKING" "tBodyAccstdX" -0.623413602046921
"137" 3 "WALKING" "tBodyAccstdY" -0.480015920697654
"138" 3 "WALKING" "tBodyAccstdZ" -0.653625579293255
"139" 3 "WALKING" "tGravityAccmeanX" 0.707814353343108
"140" 3 "WALKING" "tGravityAccmeanY" -0.0260590480328739
"141" 3 "WALKING" "tGravityAccmeanZ" 0.0480937904190616
"142" 3 "WALKING" "tGravityAccstdX" -0.966457565630499
"143" 3 "WALKING" "tGravityAccstdY" -0.9445645371261
"144" 3 "WALKING" "tGravityAccstdZ" -0.926966278211144
"145" 3 "WALKING" "tBodyAccJerkmeanX" 0.0701731261988856
"146" 3 "WALKING" "tBodyAccJerkmeanY" 0.0144664329060411
"147" 3 "WALKING" "tBodyAccJerkmeanZ" -0.000526818872875366
"148" 3 "WALKING" "tBodyAccJerkstdX" -0.635484688041056
"149" 3 "WALKING" "tBodyAccJerkstdY" -0.55721186773783
